2003-12-02 00:00:00 {'A': 1743, 'B': 2928, 'C': 3922, 'D': 2897, 'E': 1740}
2003-12-03 00:00:00 {'A': 1744, 'B': 2928, 'C': 3916, 'D': 2899, 'E': 1740}
2003-12-04 00:00:00 {'A': 1742, 'B': 2936, 'C': 3921, 'D': 2893, 'E': 1739}
2003-12-05 00:00:00 {'A': 1747, 'B': 2926, 'C': 3930, 'D': 2878, 'E': 1734}
2003-12-06 00:00:00 {'A': 1747, 'B': 2926, 'C': 3930, 'D': 2878, 'E': 1734}
2003-12-07 00:00:00 {'A': 1747, 'B': 2926, 'C': 3930, 'D': 2878, 'E': 1734}
2003-12-08 00:00:00 {'A': 1746, 'B': 2942, 'C': 3923, 'D': 2873, 'E': 1737}
2003-12-09 00:00:00 {'A': 1750, 'B': 2927, 'C': 3919, 'D': 2881, 'E': 1739}
2003-12-10 00:00:00 {'A': 1750, 'B': 2922, 'C': 3930, 'D': 2877, 'E': 1736}
2003-12-11 00:00:00 {'A': 1743, 'B': 2944, 'C': 3915, 'D': 2883, 'E': 1744}
2003-12-12 00:00:00 {'A': 1741, 'B': 2949, 'C': 3916, 'D': 2883, 'E': 1742}
2003-12-13 00:00:00 {'A': 1741, 'B': 2949, 'C': 3916, 'D': 2883, 'E': 1742}
2003-12-14 00:00:00 {'A': 1741, 'B': 2949, 'C': 3916, 'D': 2883, 'E': 1742}
2003-12-15 00:00:00 {'A': 1745, 'B': 2942, 'C': 3917, 'D': 2874, 'E': 1745}
2003-12-16 00:00:00 {'A': 1743, 'B': 2955, 'C': 3917, 'D': 2874, 'E': 1739}
2003-12-17 00:00:00 {'A': 1743, 'B': 2961, 'C': 3916, 'D': 2864, 'E': 1741}
2003-12-18 00:00:00 {'A': 1737, 'B': 2983, 'C': 3916, 'D': 2854, 'E': 1747}
2003-12-19 00:00:00 {'A': 1737, 'B': 2983, 'C': 3917, 'D': 2843, 'E': 1754}
2003-12-20 00:00:00 {'A': 1737, 'B': 2983, 'C': 3917, 'D': 2843, 'E': 1754}
2003-12-21 00:00:00 {'A': 1737, 'B': 2983, 'C': 3917, 'D': 2843, 'E': 1754}
2003-12-22 00:00:00 {'A': 1734, 'B': 2989, 'C': 3932, 'D': 2827, 'E': 1750}
2003-12-23 00:00:00 {'A': 1734, 'B': 2997, 'C': 3932, 'D': 2818, 'E': 1752}
2003-12-24 00:00:00 {'A': 1735, 'B': 2996, 'C': 3923, 'D': 2819, 'E': 1757}
2003-12-25 00:00:00 {'A': 1735, 'B': 2996, 'C': 3923, 'D': 2819, 'E': 1757}
2003-12-26 00:00:00 {'A': 1735, 'B': 2998, 'C': 3923, 'D': 2822, 'E': 1757}
2003-12-27 00:00:00 {'A': 1735, 'B': 2998, 'C': 3923, 'D': 2822, 'E': 1757}
2003-12-28 00:00:00 {'A': 1735, 'B': 2998, 'C': 3923, 'D': 2822, 'E': 1757}
2003-12-29 00:00:00 {'A': 1728, 'B': 3026, 'C': 3914, 'D': 2822, 'E': 1757}
2003-12-30 00:00:00 {'A': 1729, 'B': 3029, 'C': 3913, 'D': 2815, 'E': 1758}
2003-12-31 00:00:00 {'A': 1729, 'B': 3033, 'C': 3908, 'D': 2827, 'E': 1754}
2004-01-01 00:00:00 {'A': 1729, 'B': 3033, 'C': 3908, 'D': 2827, 'E': 1754}
2004-01-02 00:00:00 {'A': 1943, 'B': 2187, 'C': 3205, 'D': 2262, 'E': 3488}
2004-01-03 00:00:00 {'A': 1943, 'B': 2187, 'C': 3205, 'D': 2262, 'E': 3488}
2004-01-04 00:00:00 {'A': 1943, 'B': 2187, 'C': 3205, 'D': 2262, 'E': 3488}
2004-01-05 00:00:00 {'A': 1931, 'B': 2198, 'C': 3206, 'D': 2274, 'E': 3497}
2004-01-06 00:00:00 {'A': 1930, 'B': 2200, 'C': 3206, 'D': 2281, 'E': 3491}
2004-01-07 00:00:00 {'A': 1930, 'B': 2206, 'C': 3191, 'D': 2272, 'E': 3514}
2004-01-08 00:00:00 {'A': 1921, 'B': 2207, 'C': 3205, 'D': 2272, 'E': 3518}
2004-01-09 00:00:00 {'A': 1924, 'B': 2193, 'C': 3209, 'D': 2265, 'E': 3521}
2004-01-10 00:00:00 {'A': 1924, 'B': 2193, 'C': 3209, 'D': 2265, 'E': 3521}
2004-01-11 00:00:00 {'A': 1924, 'B': 2193, 'C': 3209, 'D': 2265, 'E': 3521}
2004-01-12 00:00:00 {'A': 1919, 'B': 2196, 'C': 3215, 'D': 2275, 'E': 3516}
2004-01-13 00:00:00 {'A': 1923, 'B': 2190, 'C': 3218, 'D': 2272, 'E': 3510}
2004-01-14 00:00:00 {'A': 1920, 'B': 2203, 'C': 3217, 'D': 2266, 'E': 3514}
2004-01-15 00:00:00 {'A': 1917, 'B': 2203, 'C': 3214, 'D': 2278, 'E': 3514}
2004-01-16 00:00:00 {'A': 1910, 'B': 2209, 'C': 3214, 'D': 2280, 'E': 3524}
2004-01-17 00:00:00 {'A': 1910, 'B': 2209, 'C': 3214, 'D': 2280, 'E': 3524}
2004-01-18 00:00:00 {'A': 1910, 'B': 2209, 'C': 3214, 'D': 2280, 'E': 3524}
2004-01-19 00:00:00 {'A': 1910, 'B': 2209, 'C': 3214, 'D': 2280, 'E': 3524}
2004-01-20 00:00:00 {'A': 1910, 'B': 2209, 'C': 3218, 'D': 2260, 'E': 3535}
2004-01-21 00:00:00 {'A': 1912, 'B': 2229, 'C': 3204, 'D': 2243, 'E': 3545}
